E1111 02:34:08.867893  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ENCODER_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.886535  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_DECODER_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.912774  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PERSON_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.916589  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PERSON_INFO_BATCH partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.921532  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.947092  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_STORAGE_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.948807  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_CAMERA_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.952557  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_DOORACCESS_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.953348  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PERSON_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.958236  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.958722  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_PARKINGLOG_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.994741  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_STORAGE_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:08.994881  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_CAMERA_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.000859  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_DOORACCESS_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.010665  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PERSON_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.016783  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PARKINGLOG_INFO_FERRY partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:09.016924  179064 kafka_exporter.go:413] Cannot get current offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
